#    L    TT             EE             TE          
   420    0.23815E+04    0.71149E+01    0.53719E+02
   421    0.23811E+04    0.72091E+01    0.53775E+02
   422    0.23806E+04    0.73033E+01    0.53820E+02
   423    0.23802E+04    0.73977E+01    0.53853E+02
   424    0.23797E+04    0.74922E+01    0.53875E+02
   425    0.23791E+04    0.75867E+01    0.53885E+02
   426    0.23785E+04    0.76812E+01    0.53883E+02
   427    0.23779E+04    0.77757E+01    0.53870E+02
   428    0.23773E+04    0.78701E+01    0.53845E+02
   429    0.23766E+04    0.79645E+01    0.53808E+02
   430    0.23760E+04    0.80588E+01    0.53759E+02
   431    0.23753E+04    0.81530E+01    0.53698E+02
   432    0.23746E+04    0.82470E+01    0.53625E+02
   433    0.23739E+04    0.83408E+01    0.53540E+02
   434    0.23731E+04    0.84344E+01    0.53443E+02
   435    0.23724E+04    0.85278E+01    0.53333E+02
   436    0.23717E+04    0.86209E+01    0.53212E+02
   437    0.23709E+04    0.87137E+01    0.53078E+02
   438    0.23702E+04    0.88062E+01    0.52932E+02
   439    0.23694E+04    0.88984E+01    0.52773E+02
   440    0.23687E+04    0.89901E+01    0.52602E+02
   441    0.23680E+04    0.90815E+01    0.52418E+02
   442    0.23672E+04    0.91724E+01    0.52222E+02
   443    0.23665E+04    0.92628E+01    0.52013E+02
   444    0.23658E+04    0.93527E+01    0.51792E+02
   445    0.23651E+04    0.94421E+01    0.51558E+02
   446    0.23645E+04    0.95310E+01    0.51311E+02
   447    0.23638E+04    0.96192E+01    0.51051E+02
   448    0.23632E+04    0.97069E+01    0.50778E+02
   449    0.23626E+04    0.97939E+01    0.50493E+02
   450    0.23620E+04    0.98803E+01    0.50194E+02
   451    0.23615E+04    0.99659E+01    0.49882E+02
   452    0.23610E+04    0.10051E+02    0.49557E+02
   453    0.23605E+04    0.10135E+02    0.49219E+02
   454    0.23601E+04    0.10218E+02    0.48868E+02
   455    0.23597E+04    0.10301E+02    0.48505E+02
   456    0.23593E+04    0.10383E+02    0.48128E+02
   457    0.23590E+04    0.10464E+02    0.47739E+02
   458    0.23587E+04    0.10544E+02    0.47337E+02
   459    0.23585E+04    0.10623E+02    0.46923E+02
   460    0.23583E+04    0.10701E+02    0.46497E+02
   461    0.23582E+04    0.10778E+02    0.46059E+02
   462    0.23581E+04    0.10854E+02    0.45609E+02
   463    0.23581E+04    0.10929E+02    0.45148E+02
   464    0.23582E+04    0.11003E+02    0.44674E+02
   465    0.23583E+04    0.11077E+02    0.44190E+02
   466    0.23584E+04    0.11148E+02    0.43694E+02
   467    0.23586E+04    0.11219E+02    0.43187E+02
   468    0.23589E+04    0.11289E+02    0.42669E+02
   469    0.23593E+04    0.11357E+02    0.42140E+02
   470    0.23597E+04    0.11425E+02    0.41600E+02
   471    0.23602E+04    0.11491E+02    0.41050E+02
   472    0.23608E+04    0.11556E+02    0.40489E+02
   473    0.23614E+04    0.11619E+02    0.39918E+02
   474    0.23622E+04    0.11681E+02    0.39337E+02
   475    0.23630E+04    0.11742E+02    0.38746E+02
   476    0.23638E+04    0.11802E+02    0.38146E+02
   477    0.23648E+04    0.11860E+02    0.37535E+02
   478    0.23658E+04    0.11916E+02    0.36915E+02
   479    0.23670E+04    0.11972E+02    0.36286E+02
   480    0.23682E+04    0.12025E+02    0.35647E+02
   481    0.23695E+04    0.12078E+02    0.34999E+02
   482    0.23709E+04    0.12128E+02    0.34343E+02
   483    0.23724E+04    0.12178E+02    0.33677E+02
   484    0.23740E+04    0.12225E+02    0.33003E+02
   485    0.23757E+04    0.12271E+02    0.32320E+02
   486    0.23775E+04    0.12316E+02    0.31629E+02
   487    0.23794E+04    0.12358E+02    0.30929E+02
   488    0.23815E+04    0.12399E+02    0.30222E+02
   489    0.23836E+04    0.12439E+02    0.29506E+02
   490    0.23858E+04    0.12476E+02    0.28783E+02
   491    0.23881E+04    0.12512E+02    0.28052E+02
   492    0.23906E+04    0.12546E+02    0.27314E+02
   493    0.23931E+04    0.12578E+02    0.26568E+02
   494    0.23958E+04    0.12609E+02    0.25815E+02
   495    0.23986E+04    0.12637E+02    0.25055E+02
   496    0.24015E+04    0.12664E+02    0.24288E+02
   497    0.24046E+04    0.12688E+02    0.23514E+02
   498    0.24077E+04    0.12711E+02    0.22734E+02
   499    0.24110E+04    0.12733E+02    0.21948E+02
   500    0.24144E+04    0.12752E+02    0.21157E+02
   501    0.24179E+04    0.12769E+02    0.20359E+02
   502    0.24216E+04    0.12785E+02    0.19556E+02
   503    0.24254E+04    0.12798E+02    0.18748E+02
   504    0.24292E+04    0.12810E+02    0.17936E+02
   505    0.24333E+04    0.12821E+02    0.17118E+02
   506    0.24374E+04    0.12829E+02    0.16296E+02
