#    L    TT             EE             TE          
   441    0.27671E+02    0.24787E+00   -0.88150E+00
   442    0.27801E+02    0.24587E+00   -0.89528E+00
   443    0.27934E+02    0.24384E+00   -0.90860E+00
   444    0.28070E+02    0.24178E+00   -0.92148E+00
   445    0.28208E+02    0.23970E+00   -0.93390E+00
   446    0.28348E+02    0.23759E+00   -0.94585E+00
   447    0.28491E+02    0.23545E+00   -0.95732E+00
   448    0.28635E+02    0.23329E+00   -0.96831E+00
   449    0.28782E+02    0.23111E+00   -0.97882E+00
   450    0.28930E+02    0.22890E+00   -0.98882E+00
   451    0.29081E+02    0.22667E+00   -0.99833E+00
   452    0.29233E+02    0.22441E+00   -0.10073E+01
   453    0.29387E+02    0.22214E+00   -0.10158E+01
   454    0.29543E+02    0.21985E+00   -0.10238E+01
   455    0.29700E+02    0.21753E+00   -0.10312E+01
   456    0.29859E+02    0.21521E+00   -0.10382E+01
   457    0.30019E+02    0.21286E+00   -0.10446E+01
   458    0.30180E+02    0.21051E+00   -0.10505E+01
   459    0.30342E+02    0.20814E+00   -0.10560E+01
   460    0.30505E+02    0.20576E+00   -0.10609E+01
   461    0.30670E+02    0.20338E+00   -0.10653E+01
   462    0.30835E+02    0.20098E+00   -0.10693E+01
   463    0.31001E+02    0.19858E+00   -0.10727E+01
   464    0.31168E+02    0.19618E+00   -0.10757E+01
   465    0.31335E+02    0.19377E+00   -0.10781E+01
   466    0.31503E+02    0.19136E+00   -0.10801E+01
   467    0.31671E+02    0.18895E+00   -0.10816E+01
   468    0.31839E+02    0.18655E+00   -0.10827E+01
   469    0.32008E+02    0.18415E+00   -0.10832E+01
   470    0.32176E+02    0.18175E+00   -0.10833E+01
   471    0.32345E+02    0.17935E+00   -0.10829E+01
   472    0.32514E+02    0.17697E+00   -0.10821E+01
   473    0.32682E+02    0.17459E+00   -0.10807E+01
   474    0.32850E+02    0.17223E+00   -0.10790E+01
   475    0.33018E+02    0.16988E+00   -0.10767E+01
   476    0.33186E+02    0.16754E+00   -0.10740E+01
   477    0.33353E+02    0.16521E+00   -0.10709E+01
   478    0.33519E+02    0.16291E+00   -0.10673E+01
   479    0.33684E+02    0.16062E+00   -0.10632E+01
   480    0.33849E+02    0.15835E+00   -0.10587E+01
   481    0.34013E+02    0.15610E+00   -0.10537E+01
   482    0.34175E+02    0.15388E+00   -0.10484E+01
   483    0.34337E+02    0.15168E+00   -0.10425E+01
   484    0.34497E+02    0.14950E+00   -0.10363E+01
   485    0.34657E+02    0.14735E+00   -0.10296E+01
   486    0.34814E+02    0.14524E+00   -0.10224E+01
   487    0.34971E+02    0.14315E+00   -0.10149E+01
   488    0.35125E+02    0.14109E+00   -0.10069E+01
   489    0.35278E+02    0.13907E+00   -0.99849E+00
